"Date","Price","Open","High","Low","Vol.","Change %"
"2019-06-20","5.3088","5.3900","5.4850","5.3294","0.12K","-1.11%"
"2019-06-19","5.3684","5.3850","5.4648","5.3400","0.23K","-0.77%"
"2019-06-18","5.4100","5.3800","5.4558","5.3350","0.08K","1.43%"
"2019-06-17","5.3337","5.4050","5.4150","5.3300","0.66K","0.27%"
"2019-06-14","5.3194","5.4000","5.4155","5.3155","2.88K","-1.01%"
"2019-06-13","5.3738","5.3650","5.4750","5.3200","3.16K","1.01%"
"2019-06-12","5.3200","5.3901","5.4018","5.3200","3.75K","-0.60%"
"2019-06-11","5.3521","5.3350","5.4100","5.2827","0.83K","0.89%"
"2019-06-10","5.3047","5.3800","5.4100","5.2250","3.10K","-0.29%"
"2019-06-07","5.3200","5.2050","5.3900","5.2050","1.56K","0.38%"
"2019-06-06","5.3000","5.3432","5.4263","5.2050","0.16K","0.60%"
"2019-06-05","5.2682","5.3500","5.3615","5.3341","0.01K","-1.15%"
"2019-06-04","5.3294","5.2050","5.4050","5.2050","0.09K","0.47%"
"2019-06-03","5.3047","5.3100","5.3912","5.1929","0.10K","-1.67%"
"2019-05-31","5.3946","5.2050","5.4415","5.2050","0.06K","2.09%"
"2019-05-30","5.2841","5.2950","5.4658","5.1900","0.07K","0.75%"
"2019-05-29","5.2450","5.2050","5.4106","5.2050","0.06K","-1.47%"
"2019-05-28","5.3235","5.2050","5.3763","5.1674","0.05K","2.38%"
"2019-05-27","5.2000","5.2050","5.3169","5.1576","0.04K","0.20%"
"2019-05-24","5.1896","5.2050","5.3234","5.1574","0.05K","0.49%"
"2019-05-23","5.1644","5.2050","5.2942","5.1100","0.05K","0.28%"
"2019-05-22","5.1500","5.2050","5.3163","5.1274","0.06K","-0.66%"
"2019-05-21","5.1840","5.2050","5.2650","5.1278","0.06K","-0.19%"
"2019-05-20","5.1940","5.2050","5.2662","5.1100","0.06K","0.46%"
"2019-05-17","5.1700","5.2050","5.2543","5.1024","0.06K","0.01%"
"2019-05-16","5.1696","5.2050","5.2928","5.0500","0.05K","2.19%"
"2019-05-15","5.0590","5.2000","5.2800","4.9950","0.05K","-2.14%"
"2019-05-14","5.1696","5.2000","5.2450","5.1150","0.02K","0.09%"
"2019-05-13","5.1648","5.2000","5.2555","5.1000","0.07K","0.59%"
"2019-05-10","5.1343","5.2000","5.2212","5.0900","0.05K","0.28%"
"2019-05-09","5.1200","5.2000","5.2005","5.0650","0.06K","0.39%"
"2019-05-08","5.1000","5.2000","5.2200","5.0975","0.06K","0.00%"
"2019-05-07","5.1000","5.2000","5.2150","5.0500","0.06K","-0.39%"
"2019-05-06","5.1200","5.2000","5.2150","5.0500","0.05K","-1.16%"
"2019-05-03","5.1800","5.2000","5.2150","5.0900","0.04K","1.27%"
"2019-05-02","5.1149","5.2000","5.2150","5.0700","0.05K","0.45%"
"2019-05-01","5.0922","5.2000","5.2008","5.1711","0.00K","0.10%"
"2019-04-30","5.0871","5.1590","5.2250","5.0600","0.08K","-0.64%"
"2019-04-29","5.1200","5.2000","5.2125","5.0500","0.07K","-0.48%"
"2019-04-26","5.1448","5.2000","5.2300","5.0850","0.08K","1.08%"
"2019-04-25","5.0898","5.2000","5.2000","5.0500","0.10K","0.30%"
"2019-04-24","5.0747","5.1602","5.2050","5.0500","0.07K","-1.07%"
"2019-04-23","5.1295","5.2000","5.2050","5.0500","0.07K","0.98%"
"2019-04-22","5.0798","5.2000","5.2008","5.1199","0.01K","-0.20%"
"2019-04-19","5.0900","5.2000","5.2015","5.1250","0.01K","0.60%"
"2019-04-18","5.0596","5.2000","5.2275","4.9800","0.08K","-2.32%"
"2019-04-17","5.1800","5.2000","5.2300","5.0388","0.10K","0.88%"
"2019-04-16","5.1346","5.1423","5.2300","5.0500","0.07K","1.33%"
"2019-04-15","5.0671","5.2000","5.2250","5.0500","0.08K","-1.50%"
"2019-04-12","5.1441","5.2000","5.2400","5.0825","0.08K","1.17%"
"2019-04-11","5.0847","5.2000","5.2750","5.1150","0.11K","0.10%"
"2019-04-10","5.0796","5.2000","5.2603","5.0500","0.06K","-1.62%"
"2019-04-09","5.1632","5.2000","5.2600","5.0500","0.09K","1.84%"
"2019-04-08","5.0698","5.2000","5.2550","5.0500","0.07K","0.69%"
"2019-04-05","5.0350","5.2000","5.2550","5.0488","0.08K","-1.94%"
"2019-04-04","5.1346","5.2500","5.3400","5.0500","0.10K","0.48%"
"2019-04-03","5.1100","5.3000","5.3750","5.0750","0.04K","-1.73%"
"2019-04-02","5.2000","5.1000","5.4550","5.0775","0.02K","2.29%"
"2019-04-01","5.0835","5.5200","5.5200","5.0943","0.02K","-6.24%"
"2019-03-29","5.4220","5.1500","5.5103","5.0837","0.04K","6.31%"
"2019-03-28","5.1000","5.0425","5.5000","5.0325","0.04K","-0.97%"
"2019-03-27","5.1500","5.0500","5.4000","5.0150","0.03K","3.00%"
"2019-03-26","5.0000","5.2700","5.2700","5.0200","0.04K","-0.20%"
"2019-03-25","5.0100","5.2000","5.2200","4.9850","0.06K","-0.79%"
"2019-03-22","5.0500","5.2000","5.2500","4.9500","0.12K","-2.70%"
"2019-03-21","5.1900","5.2850","5.3500","5.1221","0.10K","0.53%"
"2019-03-20","5.1628","5.5200","5.5200","5.1700","0.12K","-3.21%"
"2019-03-19","5.3341","5.3475","5.5375","5.3150","0.10K","0.64%"
"2019-03-18","5.3000","5.5200","5.6850","5.2925","0.13K","-5.36%"
"2019-03-15","5.6000","5.5686","5.6900","5.4000","0.06K","2.33%"
"2019-03-14","5.4725","5.5200","5.8675","5.4250","0.08K","-0.50%"
"2019-03-13","5.5000","5.5200","5.7925","5.4000","0.07K","0.09%"
"2019-03-12","5.4950","5.5200","5.6691","5.4250","0.06K","-1.42%"
"2019-03-11","5.5739","5.5200","5.6765","5.4475","0.08K","2.27%"
"2019-03-08","5.4500","5.5200","5.6650","5.4450","0.09K","-0.51%"
"2019-03-07","5.4780","5.5200","5.6012","5.3700","0.09K","0.15%"
"2019-03-06","5.4700","5.5000","5.5863","5.4872","0.01K","0.40%"
"2019-03-05","5.4480","5.4300","5.5650","5.3500","0.08K","-0.83%"
"2019-03-04","5.4935","5.5500","5.5775","5.2863","0.10K","-0.12%"
"2019-03-01","5.5000","5.2150","5.5350","5.2150","0.07K","0.10%"
"2019-02-28","5.4945","5.2600","5.5548","5.2125","0.08K","3.67%"
"2019-02-27","5.3000","5.2150","5.5206","5.2150","0.08K","-3.46%"
"2019-02-26","5.4900","5.2600","5.5200","5.2150","0.06K","3.58%"
"2019-02-25","5.3000","5.2600","5.4875","5.1038","0.07K","0.57%"
"2019-02-22","5.2700","5.2600","5.4500","5.0205","0.03K","0.76%"
"2019-02-21","5.2300","5.2600","5.5200","5.0965","0.03K","2.69%"
"2019-02-20","5.0930","5.2400","5.4550","5.0976","0.05K","-0.05%"
"2019-02-19","5.0955","5.2600","5.4000","5.0056","0.06K","0.00%"
"2019-02-18","5.0955","5.2600","5.3200","5.0150","0.03K","1.84%"
"2019-02-15","5.0035","5.2600","5.3200","5.0042","0.03K","-2.08%"
"2019-02-14","5.1098","5.2725","5.3000","5.0034","0.03K","2.11%"
"2019-02-13","5.0040","5.0750","5.3100","4.9981","0.03K","-4.50%"
"2019-02-12","5.2400","5.2250","5.3100","4.9738","0.02K","3.15%"
"2019-02-11","5.0800","4.9513","5.2915","4.9513","0.03K","-0.20%"
"2019-02-08","5.0900","5.0700","5.1500","4.9333","0.03K","0.00%"
"2019-02-07","5.0898","4.9513","5.1825","4.9513","0.02K","2.67%"
"2019-02-06","4.9576","5.0950","5.1000","4.9163","0.03K","0.08%"
"2019-02-05","4.9536","4.9513","5.0900","4.8948","0.02K","0.35%"
"2019-02-04","4.9364","4.9513","5.1150","4.9410","0.03K","0.18%"
"2019-02-01","4.9277","4.9513","5.0900","4.9250","0.04K","-0.03%"
"2019-01-31","4.9291","4.9650","5.1000","4.9225","0.04K","0.09%"
"2019-01-30","4.9247","4.9513","5.0800","4.9100","0.03K","-0.01%"
"2019-01-29","4.9254","4.9513","5.0225","4.9077","0.04K","-0.27%"
"2019-01-28","4.9386","4.9513","5.0527","4.9100","0.02K","-0.16%"
"2019-01-25","4.9466","4.9819","5.0155","4.8948","0.05K","-0.07%"
"2019-01-24","4.9500","4.9513","5.0203","4.9075","0.05K","1.32%"
"2019-01-23","4.8855","4.9513","5.0000","4.8150","0.06K","-0.40%"
"2019-01-22","4.9051","4.9513","4.9975","4.9063","0.04K","-0.10%"
"2019-01-21","4.9100","4.9513","4.9900","4.8890","0.03K","0.20%"
"2019-01-18","4.9000","4.9513","4.9950","4.8926","0.04K","-0.04%"
"2019-01-17","4.9020","4.9513","4.9700","4.8250","0.05K","0.65%"
"2019-01-16","4.8702","4.9513","4.9950","4.8479","","0.25%"
"2019-01-15","4.8579","4.9513","4.9975","4.8462","","0.21%"
"2019-01-14","4.8479","4.9513","4.9900","4.8250","","-0.05%"
"2019-01-11","4.8501","4.9513","4.9950","4.8250","0.00K","0.00%"
"2019-01-10","4.8500","4.9050","4.9800","4.8372","0.00K","1.11%"
"2019-01-09","4.7968","4.9050","4.9900","4.8184","","-0.68%"
"2019-01-08","4.8297","4.9050","4.9850","4.8250","0.00K","-0.94%"
"2019-01-07","4.8754","4.9050","4.9268","4.8479","0.02K","0.21%"
"2019-01-04","4.8651","4.9000","4.9900","4.8241","0.03K","1.24%"
"2019-01-03","4.8056","4.8760","4.9900","4.8178","0.00K","0.10%"
